0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Frame#,Time,Neck,,,RShoulder,,,RElbow,,,RWrist,,,LShoulder,,,LElbow,,,LWrist,,,midHip,,,RHip,,,RKnee,,,RAnkle,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,,RBigToe,,,RSmallToe,,,RHeel,,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,
19,0.3000000,-3.5323900,1.1096400,0.0986800,-3.5032700,1.1126600,0.2693700,-3.5699800,0.8735800,0.3993900,-3.2604600,0.8126500,0.2821800,-3.5188100,1.1135500,-0.0608200,-3.7655300,0.9179000,-0.2005500,-3.6485900,0.7120500,-0.1530100,-3.6581300,0.5921500,0.1547000,-3.6735700,0.5936600,0.2599200,-3.8467800,0.1718300,0.2953900,-4.1788300,-0.1843600,0.3165300,-3.6576100,0.5878000,0.0556400,-3.4647400,0.2567300,0.0859400,-3.8795000,-0.0999700,0.1283400,-3.8314700,-0.2506200,0.1939600,-3.7914200,-0.2347800,0.1264600,-3.9931800,-0.1208000,0.1436400,-4.0301300,-0.3146200,0.3460900,-4.1114200,-0.3108300,0.4004200,-4.2093400,-0.2374700,0.3075200,
20,0.3166667,-3.4938700,1.1128400,0.0964500,-3.4553900,1.1192800,0.2569600,-3.5153100,0.8752800,0.3973800,-3.2390500,0.8288700,0.2719900,-3.4712000,1.1163600,-0.0671600,-3.7308300,0.9236400,-0.2024300,-3.6301800,0.7155700,-0.1539100,-3.6340500,0.6084400,0.1555800,-3.6464700,0.6113200,0.2619400,-3.7958300,0.1934900,0.3046000,-4.1799200,-0.1594600,0.3191600,-3.6352700,0.6016300,0.0535500,-3.4177400,0.2728700,0.0822000,-3.8040700,-0.1038300,0.1628000,-3.7438800,-0.2379300,0.2314000,-3.7095300,-0.2316600,0.1600000,-3.9177200,-0.1306500,0.1708900,-4.0176100,-0.3159900,0.3485200,-4.0986800,-0.3084900,0.4057700,-4.2271900,-0.2295200,0.3075300,
21,0.3333333,-3.4402900,1.1179400,0.0943700,-3.4143500,1.1209700,0.2494600,-3.4839900,0.8727000,0.4009300,-3.2159700,0.8298300,0.2616100,-3.4396700,1.1218000,-0.0680700,-3.6746500,0.9301700,-0.2062200,-3.5854600,0.7204800,-0.1561200,-3.6068500,0.6199200,0.1510500,-3.6148200,0.6216900,0.2591500,-3.7388900,0.2134300,0.3050800,-4.1636900,-0.1317900,0.3253900,-3.5992700,0.6128400,0.0457000,-3.3813700,0.2837200,0.0817800,-3.7349700,-0.1108000,0.1971200,-3.6531800,-0.2218700,0.2627100,-3.6406900,-0.2182200,0.1932900,-3.8424300,-0.1331300,0.1985400,-4.0164200,-0.3076700,0.3477200,-4.0806800,-0.2828700,0.4150900,-4.2629700,-0.1797600,0.3166200,
22,0.3500000,-3.3836500,1.1243200,0.0916300,-3.3815500,1.1221900,0.2493200,-3.4676800,0.8794900,0.4039700,-3.1971000,0.8215900,0.2514800,-3.4167100,1.1268900,-0.0680200,-3.6129600,0.9319000,-0.2092500,-3.5212500,0.7217000,-0.1560500,-3.5650300,0.6272500,0.1435200,-3.5668600,0.6290700,0.2535000,-3.6845200,0.2265500,0.2937900,-4.1281100,-0.1200500,0.3392900,-3.5462900,0.6183000,0.0369800,-3.3555400,0.2878600,0.0930700,-3.6774100,-0.1191000,0.2277700,-3.5736000,-0.2210600,0.2915300,-3.5811600,-0.2284500,0.2282200,-3.7791900,-0.1391400,0.2281300,-4.0231700,-0.3026600,0.3461200,-4.0495100,-0.2544500,0.4274100,-4.2762600,-0.1567300,0.3376300,
23,0.3666667,-3.3394800,1.1283800,0.0888000,-3.3463000,1.1255500,0.2535600,-3.4512300,0.8942300,0.4014900,-3.1951100,0.8092800,0.2463300,-3.3868400,1.1314100,-0.0735700,-3.5636900,0.9283400,-0.2070400,-3.4616700,0.7189000,-0.1504700,-3.5094200,0.6279900,0.1387300,-3.5045500,0.6340500,0.2492200,-3.6327100,0.2233600,0.2830200,-4.0906700,-0.1063600,0.3564600,-3.4892000,0.6156000,0.0351000,-3.3384900,0.2778800,0.1143700,-3.6328400,-0.1269900,0.2537600,-3.5232700,-0.2284400,0.3209200,-3.5468700,-0.2328500,0.2618900,-3.7401000,-0.1501600,0.2622000,-4.0258100,-0.3014700,0.3537300,-4.0093900,-0.2268500,0.4427400,-4.2553300,-0.1437700,0.3628400,
24,0.3833333,-3.3111300,1.1288800,0.0862400,-3.3022900,1.1300600,0.2566400,-3.4264900,0.9055500,0.3925400,-3.2120700,0.7944700,0.2506000,-3.3478200,1.1334600,-0.0853600,-3.5290400,0.9196900,-0.1998000,-3.4188000,0.7118000,-0.1384700,-3.4558500,0.6271300,0.1395300,-3.4481100,0.6368900,0.2478200,-3.5743900,0.2134800,0.2831500,-4.0462000,-0.0930400,0.3698700,-3.4436200,0.6135500,0.0405900,-3.3340100,0.2560100,0.1364800,-3.6077400,-0.1321900,0.2763200,-3.5006600,-0.2444100,0.3503000,-3.5144000,-0.2572800,0.2916600,-3.7226000,-0.1672600,0.2974200,-4.0137200,-0.2934900,0.3776700,-3.9631700,-0.2073600,0.4615300,-4.2013500,-0.1270700,0.3803200,
25,0.4000000,-3.2908900,1.1282100,0.0832500,-3.2551100,1.1340300,0.2538600,-3.3960900,0.9116700,0.3827300,-3.2333600,0.7762200,0.2645000,-3.3132900,1.1301600,-0.0970300,-3.4937300,0.9066500,-0.1922000,-3.3784000,0.6936400,-0.1217800,-3.4161900,0.6238200,0.1433700,-3.4124400,0.6352200,0.2483100,-3.4962100,0.2128600,0.2903500,-3.9853700,-0.0736300,0.3788700,-3.4123400,0.6106100,0.0469000,-3.3424100,0.2331600,0.1530000,-3.5981700,-0.1343200,0.2995800,-3.4917700,-0.2548100,0.3747400,-3.4858700,-0.2655200,0.3129300,-3.7116600,-0.1753800,0.3269700,-3.9716500,-0.2821600,0.4119300,-3.9116800,-0.1939900,0.4821100,-4.1257200,-0.0970500,0.3853600,
26,0.4166667,-3.2688900,1.1275000,0.0783700,-3.2141300,1.1339600,0.2461600,-3.3626600,0.9112200,0.3805600,-3.2408300,0.7590700,0.2823900,-3.2871000,1.1258200,-0.1031500,-3.4401600,0.8934700,-0.1889600,-3.3276200,0.6879000,-0.1039200,-3.3868600,0.6174400,0.1448900,-3.3893100,0.6298100,0.2477600,-3.4014600,0.2228300,0.2966100,-3.9097600,-0.0473400,0.3895800,-3.3875500,0.6023900,0.0479100,-3.3529100,0.2135500,0.1633600,-3.5827300,-0.1384300,0.3251700,-3.4827000,-0.2645100,0.3889600,-3.4646800,-0.2688000,0.3224400,-3.6760600,-0.1829900,0.3503300,-3.8913000,-0.2654800,0.4419700,-3.8517100,-0.1871100,0.5013200,-4.0257300,-0.0659700,0.3882600,
27,0.4333333,-3.2377100,1.1272000,0.0704900,-3.1856300,1.1311000,0.2393000,-3.3290800,0.9096000,0.3874600,-3.2271900,0.7403500,0.2989300,-3.2520500,1.1214700,-0.1052300,-3.3699800,0.8839500,-0.1913000,-3.2652100,0.6922300,-0.0849800,-3.3579800,0.6109500,0.1399000,-3.3599500,0.6237200,0.2417900,-3.3108900,0.2269000,0.2999200,-3.8052000,-0.0745000,0.4046900,-3.3605400,0.5967400,0.0417000,-3.3539100,0.2021300,0.1702400,-3.5583700,-0.1397100,0.3461200,-3.4791900,-0.2730600,0.3923700,-3.4562000,-0.2719600,0.3229300,-3.6238500,-0.1754900,0.3679000,-3.7786500,-0.2475600,0.4604100,-3.7762300,-0.1912700,0.5157600,-3.8939500,-0.0795100,0.4018100,
28,0.4500000,-3.1961100,1.1240100,0.0620000,-3.1693400,1.1270800,0.2363200,-3.3031700,0.9072700,0.3955900,-3.1987600,0.7280600,0.3135100,-3.1962900,1.1171700,-0.1076800,-3.3001800,0.8678100,-0.1953500,-3.1947700,0.7047100,-0.0652200,-3.3244700,0.6008800,0.1286500,-3.3159600,0.6134400,0.2305800,-3.2364600,0.2362000,0.3003600,-3.7077100,-0.0429900,0.4174000,-3.3266500,0.5883300,0.0302400,-3.3361500,0.1884700,0.1780800,-3.5442200,-0.1447700,0.3567200,-3.4754300,-0.2779500,0.3891400,-3.4560200,-0.2761800,0.3221100,-3.5878500,-0.1728900,0.3768200,-3.6455500,-0.2351600,0.4691400,-3.6748900,-0.1973700,0.5210000,-3.7738600,-0.0882600,0.4224800,
